Order,PID,LotArea,Street,LotShape,LandContour,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExteriorFirst,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSFOne,TotalBsmtSF,Heating,CentralAir,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,YrSold,SalePrice
2827,908186070,3675,Pave,Reg,Lvl,Inside,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Gd,547,547,GasA,Y,1072,0,0,1072,1,0,2,0,2,1,TA,5,0,Basment,2,525,0,44,2006,140000
2828,908186090,3675,Pave,Reg,Lvl,Inside,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Gd,547,547,GasA,Y,1072,0,0,1072,1,0,1,0,2,1,TA,5,0,Basment,2,525,0,44,2006,142500
1807,531363020,7500,Pave,Reg,Lvl,Inside,OneFam,OneStory,6,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1100,GasA,Y,1100,0,0,1100,0,0,1,1,3,1,TA,6,0,NA,0,0,0,136,2007,146000
2178,908152260,8536,Pave,Reg,Lvl,Corner,OneFam,OneStory,5,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1125,GasA,Y,1125,0,0,1125,0,0,1,1,2,1,TA,5,0,Attchd,2,430,80,64,2007,155000
2106,906380140,11103,Pave,IR1,Lvl,Corner,OneFam,TwoStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,728,GasA,Y,728,728,0,1456,0,0,2,1,3,1,Gd,8,1,Attchd,2,440,0,0,2007,155835
2427,528228550,3010,Pave,Reg,Lvl,Inside,TwnhsE,OneStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Gd,16,1142,GasA,Y,1142,0,0,1142,0,0,2,0,2,1,Gd,6,0,Attchd,2,440,90,0,2006,156820
1738,528222050,8499,Pave,IR1,Lvl,Inside,OneFam,TwoStory,6,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,616,GasA,Y,616,796,0,1412,0,0,2,1,3,1,Gd,6,1,BuiltIn,2,432,0,36,2007,156932
2815,907420070,8461,Pave,Reg,Lvl,Inside,OneFam,TwoStory,6,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,728,GasA,Y,728,728,0,1456,0,0,2,1,3,1,Gd,8,1,Attchd,2,390,0,24,2006,163990
567,533210010,3951,Pave,Reg,Lvl,Corner,TwnhsE,TwoStory,6,5,2009,2009,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,612,GasA,Y,612,612,0,1224,0,0,2,1,2,1,Gd,4,0,Detchd,2,528,0,234,2009,164500
1842,533208070,4251,Pave,IR1,Lvl,Inside,TwnhsE,TwoStory,7,5,2006,2007,Gable,CompShg,MetalSd,PConc,Gd,TA,No,0,625,GasA,Y,625,625,0,1250,0,0,2,1,2,1,Gd,5,0,Detchd,2,528,0,54,2007,164700
2816,907420090,8767,Pave,IR1,Lvl,Inside,OneFam,OneStory,7,5,2005,2005,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,24,1310,GasA,Y,1310,0,0,1310,0,0,2,0,3,1,Gd,6,1,Attchd,2,400,0,0,2006,164990
1739,528222060,8229,Pave,IR1,Lvl,Inside,OneFam,TwoStory,6,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,752,GasA,Y,752,752,0,1504,0,0,2,1,3,1,Gd,6,0,Attchd,2,440,100,32,2007,166000
1836,533206060,3523,Pave,IR1,Lvl,Inside,TwnhsE,OneStory,8,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,60,1141,GasA,Y,1151,0,0,1151,1,0,2,0,2,1,Gd,5,0,Attchd,2,484,0,60,2007,166000
2426,528228545,3010,Pave,Reg,Lvl,Inside,TwnhsE,OneStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,16,1248,GasA,Y,1248,0,0,1248,0,0,2,0,2,1,Gd,5,0,Attchd,2,438,108,0,2006,167240
2165,907420050,8334,Pave,Reg,Lvl,Inside,OneFam,OneStory,6,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1330,GasA,Y,1330,0,0,1330,0,0,2,0,3,1,Gd,6,1,Attchd,2,437,0,23,2007,167840
1732,528221030,8857,Pave,IR1,Lvl,Inside,OneFam,TwoStory,6,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,738,GasA,Y,738,757,0,1495,0,0,2,1,3,1,Gd,7,1,Attchd,2,440,100,30,2007,171925
1742,528228270,3922,Pave,Reg,Lvl,Inside,TwnhsE,OneStory,7,5,2006,2007,Gable,CompShg,WdShing,PConc,Ex,TA,Av,0,1258,GasA,Y,1258,0,0,1258,0,0,2,0,2,1,Gd,6,1,Attchd,3,648,144,16,2007,172500
2417,528221100,15578,Pave,IR1,Lvl,Corner,OneFam,TwoStory,6,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,728,GasA,Y,728,728,0,1456,0,0,2,1,3,1,TA,8,0,Attchd,2,429,0,0,2006,172785
1741,528222090,7697,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,6,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1246,GasA,Y,1258,0,0,1258,0,0,2,0,3,1,Gd,6,0,Attchd,2,462,0,0,2007,173500
568,533210020,3000,Pave,Reg,Lvl,Inside,TwnhsE,TwoStory,6,5,2009,2009,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,294,612,GasA,Y,612,612,0,1224,0,0,2,1,2,1,Gd,4,0,Detchd,2,528,0,234,2009,173733
2814,907418020,8846,Pave,Reg,Lvl,Inside,OneFam,TwoStory,6,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,750,GasA,Y,750,750,0,1500,0,0,2,1,3,1,Gd,6,0,Attchd,2,564,0,35,2006,173900
2416,528221010,11660,Pave,IR1,Lvl,Inside,OneFam,OneStory,6,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,1326,GasA,Y,1326,0,0,1326,0,0,2,0,3,1,Gd,6,0,Attchd,2,427,100,0,2006,174190
1736,528222030,8993,Pave,IR1,Lvl,Inside,OneFam,OneStory,7,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,1302,GasA,Y,1302,0,0,1302,0,0,2,0,3,1,Gd,6,0,Attchd,2,436,0,22,2007,176485
1424,906378190,10616,Pave,IR1,Lvl,Inside,OneFam,TwoStory,7,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,628,GasA,Y,628,728,0,1356,0,0,2,1,3,1,Gd,6,1,BuiltIn,2,484,100,24,2008,177439
1740,528222080,7713,Pave,Reg,Lvl,Inside,OneFam,TwoStory,7,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,728,GasA,Y,728,728,0,1456,0,0,2,1,3,1,Gd,7,0,Attchd,2,400,100,24,2007,177594
2161,907410020,8145,Pave,IR1,Lvl,Inside,OneFam,TwoStory,7,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,738,GasA,Y,738,738,0,1476,0,0,2,1,3,1,Gd,7,0,Attchd,2,552,0,35,2007,179400
1735,528221090,9018,Pave,IR1,Lvl,Inside,OneFam,TwoStory,7,5,2007,2007,Hip,CompShg,VinylSd,PConc,Gd,TA,Av,0,728,GasA,Y,728,728,0,1456,0,0,2,1,3,1,Gd,8,1,Attchd,2,400,100,24,2007,179540
2414,528218130,17104,Pave,IR1,Lvl,Inside,OneFam,TwoStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,Gd,Av,554,654,GasA,Y,664,832,0,1496,1,0,2,1,3,1,Gd,7,1,Attchd,2,426,100,24,2006,179665
317,916386020,9803,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2009,2010,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1214,GasA,Y,1214,0,0,1214,0,0,2,0,2,1,Gd,6,0,Attchd,2,520,0,25,2010,179781
1737,528222040,8899,Pave,IR1,Lvl,Inside,OneFam,OneStory,7,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,24,1340,GasA,Y,1340,0,0,1340,0,0,2,0,3,1,Gd,6,0,Attchd,2,396,100,30,2007,181134
1123,528462040,11639,Pave,Reg,Lvl,Corner,OneFam,OneStory,7,5,2007,2008,Gable,CompShg,CemntBd,PConc,Gd,TA,No,0,1428,GasA,Y,1428,0,0,1428,0,0,2,0,3,1,Gd,6,0,Attchd,2,480,0,120,2008,182000
2468,528488110,7200,Pave,Reg,Lvl,Inside,OneFam,OneStory,6,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,905,1262,GasA,Y,1262,0,0,1262,0,0,2,0,2,1,Gd,5,0,Attchd,2,572,0,120,2006,185000
2419,528222020,9073,Pave,IR1,Lvl,Inside,OneFam,TwoStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,738,GasA,Y,738,754,0,1492,0,0,2,1,3,1,Gd,8,0,Attchd,2,440,100,32,2006,185101
1745,528228555,3710,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,1266,GasA,Y,1266,0,0,1266,0,0,2,0,2,1,Gd,6,1,Attchd,2,388,100,16,2007,185485
