,Order,PID,LotArea,LotShape,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSFOne,TotalBsmtSF,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,YrSold,SalePrice,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_nan,Street_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSa,LotConfig_FRThree,LotConfig_FRTwo,LotConfig_Inside,BldgType_Duplex,BldgType_OneFam,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_OnePointFiveUnf,HouseStyle_OneStory,HouseStyle_SFoyer,HouseStyle_SLvl,HouseStyle_TwoPointFiveFin,HouseStyle_TwoPointFiveUnf,HouseStyle_TwoStory,RoofStyle_Gable,RoofStyle_Gambr,RoofStyle_Hip,RoofStyle_Mansa,RoofStyle_Shed,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_TarGrv,RoofMatl_WdShake,RoofMatl_WdShngl,ExteriorFirst_AsphShn,ExteriorFirst_BrkComm,ExteriorFirst_BrkFace,ExteriorFirst_CemntBd,ExteriorFirst_HdBoard,ExteriorFirst_ImStucc,ExteriorFirst_MetalSd,ExteriorFirst_Plywood,ExteriorFirst_PreCast,ExteriorFirst_Stucco,ExteriorFirst_VinylSd,ExteriorFirst_WdSdng,ExteriorFirst_WdShing,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y
0,2827,908186070,3675,4,6,5,2005,2006,5,4,5,547,547,1072,0,0,1072,1,0,2,0,2,1,3,5,0,2,525,0,44,2006,140000,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,2828,908186090,3675,4,6,5,2005,2006,5,4,5,547,547,1072,0,0,1072,1,0,1,0,2,1,3,5,0,2,525,0,44,2006,142500,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2,1807,531363020,7500,4,6,5,2006,2007,5,4,2,0,1100,1100,0,0,1100,0,0,1,1,3,1,3,6,0,0,0,0,136,2007,146000,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,2178,908152260,8536,4,5,5,2006,2007,5,4,2,0,1125,1125,0,0,1125,0,0,1,1,2,1,3,5,0,2,430,80,64,2007,155000,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,2106,906380140,11103,3,7,5,2006,2006,5,4,2,0,728,728,728,0,1456,0,0,2,1,3,1,4,8,1,2,440,0,0,2007,155835,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
5,2427,528228550,3010,4,7,5,2005,2006,5,4,5,16,1142,1142,0,0,1142,0,0,2,0,2,1,4,6,0,2,440,90,0,2006,156820,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6,1738,528222050,8499,3,6,5,2006,2007,5,4,2,0,616,616,796,0,1412,0,0,2,1,3,1,4,6,1,2,432,0,36,2007,156932,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7,2815,907420070,8461,4,6,5,2005,2006,5,4,2,0,728,728,728,0,1456,0,0,2,1,3,1,4,8,1,2,390,0,24,2006,163990,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
8,567,533210010,3951,4,6,5,2009,2009,5,4,4,0,612,612,612,0,1224,0,0,2,1,2,1,4,4,0,2,528,0,234,2009,164500,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
9,1842,533208070,4251,3,7,5,2006,2007,5,4,2,0,625,625,625,0,1250,0,0,2,1,2,1,4,5,0,2,528,0,54,2007,164700,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,2816,907420090,8767,3,7,5,2005,2005,5,4,4,24,1310,1310,0,0,1310,0,0,2,0,3,1,4,6,1,2,400,0,0,2006,164990,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
11,1739,528222060,8229,3,6,5,2007,2007,5,4,4,0,752,752,752,0,1504,0,0,2,1,3,1,4,6,0,2,440,100,32,2007,166000,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
12,1836,533206060,3523,3,8,5,2006,2007,5,4,2,60,1141,1151,0,0,1151,1,0,2,0,2,1,4,5,0,2,484,0,60,2007,166000,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
13,2426,528228545,3010,4,7,5,2005,2006,5,4,4,16,1248,1248,0,0,1248,0,0,2,0,2,1,4,5,0,2,438,108,0,2006,167240,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
14,2165,907420050,8334,4,6,5,2006,2007,5,4,2,0,1330,1330,0,0,1330,0,0,2,0,3,1,4,6,1,2,437,0,23,2007,167840,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
15,1732,528221030,8857,3,6,5,2006,2006,5,4,2,0,738,738,757,0,1495,0,0,2,1,3,1,4,7,1,2,440,100,30,2007,171925,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
16,1742,528228270,3922,4,7,5,2006,2007,6,4,4,0,1258,1258,0,0,1258,0,0,2,0,2,1,4,6,1,3,648,144,16,2007,172500,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
17,2417,528221100,15578,3,6,5,2006,2006,5,4,2,0,728,728,728,0,1456,0,0,2,1,3,1,3,8,0,2,429,0,0,2006,172785,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
